,word,tf,rootWordFrequency,positionScore,rootWordWeight,pos,keyword
0,Morning,3,12,1.1907993966817496,4.7631975867269984,1,1
1,minimum,1,1,0.42156862745098034,0.42156862745098034,4,1
2,Discounts,1,17,0.4819004524886878,4.800150829562594,1,1
3,Vouchers,1,3,0.13348416289592757,1.1063348416289593,1,1
4,consignment,1,1,0.39743589743589747,0.39743589743589747,4,1
5,Toys,1,3,0.47285067873303166,1.1153846153846154,1,1
6,Jollen,1,1,0.15610859728506787,0.15610859728506787,1,1
7,creating,2,6,0.40120663650075417,1.2036199095022626,2,1
8,discount,3,17,0.8423831070889894,4.800150829562594,1,1
9,fashions,1,2,0.3717948717948718,0.7435897435897436,1,1
10,GMA,13,13,3.17420814479638,3.17420814479638,1,1
11,viewers,8,66,1.8325791855203617,15.597285067873305,1,1
12,marketplace,1,2,0.38386123680241324,0.7677224736048265,1,1
13,April,4,16,1.392156862745098,5.568627450980392,1,1
14,applied,1,23,0.39140271493212675,4.822775263951735,2,1
15,totals,1,3,0.4155354449472096,1.2104072398190047,1,1
16,supplies,1,2,0.10331825037707393,0.20663650075414786,1,1
17,Clothing,1,7,0.47888386123680243,1.643288084464555,1,1
18,CEO,1,1,0.4773755656108597,0.4773755656108597,1,1
19,GMA15,1,1,0.1168929110105581,0.1168929110105581,1,1
20,Hire,1,2,0.4834087481146304,0.9668174962292608,1,1
21,Women,1,2,0.48039215686274506,0.9607843137254901,1,1
22,Blurb,2,4,0.5414781297134239,1.0829562594268478,1,1
23,priced,5,33,0.5859728506787332,4.981146304675717,2,1
24,shipping,1,2,0.222473604826546,0.444947209653092,2,1
25,enter,1,2,0.33257918552036203,0.6651583710407241,2,1
26,deals,6,56,1.396681749622926,13.654600301659128,1,1
27,exclusive,2,7,0.5384615384615384,1.8469079939668176,4,0
28,available,7,56,1.127450980392157,9.019607843137257,4,0
29,Clover,1,1,0.053544494720965286,0.053544494720965286,1,0
30,use,3,23,0.7111613876319759,4.822775263951735,1,0
31,Check,2,7,0.9260935143288085,3.104826546003016,1,0
32,viewers,8,66,1.8325791855203617,15.597285067873305,1,0
33,GMA,13,13,3.17420814479638,3.17420814479638,1,0
34,originally,1,2,0.3416289592760181,0.6832579185520362,3,0
35,com,5,5,1.1862745098039216,1.1862745098039216,1,0
37,US,2,16,0.8340874811463047,6.4253393665158365,1,0
38,Designer,1,7,0.014328808446455454,1.2767722473604828,1,0
39,Refinestyle,3,3,1.103318250377074,1.103318250377074,1,0
40,Talk,1,2,0.1907993966817496,0.3815987933634992,2,0
41,code,5,28,0.8484162895927602,5.666666666666666,1,0
42,Discount,1,17,0.3657616892911011,4.800150829562594,1,0
43,Blurb,2,4,0.5414781297134239,1.0829562594268478,1,0
44,creating,2,6,0.40120663650075417,1.2036199095022626,2,0
46,Easter,1,1,0.023378582202111642,0.023378582202111642,1,0
48,photo,3,9,0.9464555052790348,2.839366515837104,1,0
49,extra,2,6,0.3137254901960784,0.9411764705882353,4,0
50,series,1,2,0.45475113122171945,0.9095022624434389,1,0
51,hustle,1,2,0.20135746606334842,0.40271493212669685,2,0
52,Pillow,4,17,0.7390648567119155,3.127450980392157,1,0
53,percent,8,68,1.506787330316742,12.778280542986426,1,0
55,member,1,2,0.14555052790346912,0.29110105580693824,1,0
57,Deals,1,56,0.4894419306184012,13.654600301659128,1,0
58,sales,1,20,0.39592760180995473,3.984917043740573,1,0
59,Percent,2,68,0.3619909502262444,12.778280542986426,1,0
60,already,2,4,0.43891402714932126,0.8778280542986425,3,0
61,Off,4,4,0.6591251885369533,0.6591251885369533,1,0
62,loved,1,3,0.37481146304675717,0.9705882352941176,2,0
63,Nanette,2,2,0.7541478129713424,0.7541478129713424,1,0
64,Get,1,10,0.15761689291101055,1.8612368024132728,1,0
65,shoes,2,11,0.5822021116138764,3.518099547511312,1,0
66,half,1,3,0.2812971342383107,0.7413273001508296,4,0
67,April,4,16,1.392156862745098,5.568627450980392,1,0
68,'s,4,4,1.4147812971342384,1.4147812971342384,2,0
70,Weekend,2,8,0.9502262443438914,3.194570135746606,1,0
71,love,1,3,0.2209653092006033,0.9705882352941176,2,0
73,order,2,7,0.6108597285067874,1.9374057315233788,1,0
74,Any,2,2,0.27601809954751133,0.27601809954751133,1,0
